NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtAType,ArtAMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
8,Circlet,HP_p,418,19,0,0,0,19,0,0,0,14,Circlet,DF_p,0,18,53,0,0,0,6,0,13,0
1,Circlet,DF_p,478,0,0,0,19,0,0,21,0,8,Circlet,CD_p,717,0,44,0,4,0,0,0,10,0
0,Circlet,AK_p,448,0,32,0,0,0,19,21,0,0,Circlet,HP_p,478,16,0,0,16,0,0,0,5,0
345,Circlet,HP_p,0,0,23,0,4,0,0,35,0,27,Circlet,HP_p,239,0,0,0,19,7,0,0,11,0
29,Circlet,DF_p,299,31,0,0,15,0,16,0,0,0,Circlet,CR_p,269,0,60,0,0,0,5,0,0,19
26,Circlet,HB_p,568,0,0,0,19,12,0,0,4,0,Circlet,DF_p,0,0,0,10,0,0,9,23,0,19
10,Circlet,DF_p,478,0,0,10,0,0,0,40,6,0,Circlet,DF_p,0,49,0,0,12,0,5,0,6,0
1,Circlet,HB_p,866,0,0,5,0,17,0,0,0,7,Circlet,HP_p,836,47,0,0,0,6,0,0,7,0
128,Circlet,DF_p,0,0,42,0,0,0,0,23,12,6,Circlet,AK_p,568,0,0,0,0,12,0,0,9,13
5,Circlet,AK_p,0,51,21,0,0,5,0,63,0,0,Circlet,CD_p,777,16,0,12,10,0,0,0,0,0
31,Circlet,HP_p,508,0,0,0,10,14,0,0,7,0,Circlet,CD_p,0,0,0,5,11,0,0,42,9,0
257,Circlet,AK_p,0,0,23,5,0,0,0,0,6,29,Circlet,AK_p,0,16,23,0,0,0,0,0,11,23
14,Circlet,CD_p,0,31,0,12,20,0,5,0,0,0,Circlet,AK_p,0,0,23,0,0,0,16,35,6,0
36,Circlet,HP_p,0,33,56,0,0,0,0,42,0,15,Circlet,EM_f,269,0,56,0,9,0,0,0,0,16
2,Circlet,DF_p,1135,45,0,0,0,0,6,0,3,0,Circlet,CR_p,0,14,0,6,0,0,22,0,0,21
22,Circlet,DF_p,0,18,0,16,0,0,0,0,9,5,Circlet,HP_p,0,18,0,0,11,13,0,0,9,0
5,Circlet,AK_p,538,49,0,0,0,0,16,0,0,7,Circlet,CD_p,0,0,23,0,24,5,0,0,4,0
1,Circlet,AK_p,598,27,58,0,0,0,6,0,0,0,Circlet,HP_p,0,72,35,0,5,0,0,16,0,0
150,Circlet,HB_p,568,0,37,5,0,0,0,0,0,21,Circlet,AK_p,866,0,0,4,0,0,5,0,11,0
5,Circlet,HB_p,807,33,23,0,0,17,0,0,0,0,Circlet,AK_p,538,0,0,9,0,0,12,0,0,20
22,Circlet,CR_p,0,0,23,9,0,19,0,0,0,18,Circlet,DF_p,747,0,21,0,10,0,0,0,0,19
10,Circlet,HB_p,717,0,0,5,0,12,0,0,8,0,Circlet,AK_p,478,0,0,4,0,20,0,0,9,0
7,Circlet,HB_p,568,0,86,0,0,0,5,0,6,0,Circlet,AK_p,538,0,16,0,0,12,0,0,14,0
2,Circlet,AK_p,598,0,37,0,0,6,16,0,0,0,Circlet,DF_p,0,0,39,0,0,0,11,37,0,12
3,Circlet,AK_p,896,0,0,0,0,0,10,23,0,5,Circlet,HP_p,0,29,58,0,0,0,5,0,0,13
64,Circlet,DF_p,0,19,32,0,15,0,0,0,0,15,Circlet,HP_p,0,0,16,0,9,0,0,40,0,27
15,Circlet,HP_p,0,0,44,0,5,0,0,61,10,0,Circlet,AK_p,0,29,23,0,0,0,10,0,14,0
279,Circlet,EM_f,0,0,0,9,11,0,0,0,7,13,Circlet,HP_p,299,0,37,0,0,0,0,0,4,27
28,Circlet,HP_p,0,0,0,0,5,0,0,58,5,16,Circlet,DF_p,807,0,0,5,0,0,0,0,7,22
1,Circlet,HP_p,0,0,62,0,15,6,0,0,4,0,Circlet,HB_p,239,0,0,0,19,7,0,0,0,13
10,Circlet,DF_p,299,0,44,15,15,0,0,0,0,0,Circlet,AK_p,0,0,62,0,0,0,5,40,0,12
11,Circlet,EM_f,448,0,0,16,9,0,0,0,4,0,Circlet,CR_p,269,31,0,0,0,11,0,0,0,19
5,Circlet,HP_p,0,78,19,0,9,0,6,0,0,0,Circlet,CR_p,0,19,58,5,13,0,0,0,0,0
7,Circlet,DF_p,0,39,53,0,9,0,0,0,3,0,Circlet,HP_p,448,0,0,0,10,0,0,35,0,13
10,Circlet,DF_p,478,0,39,0,0,0,16,0,0,12,Circlet,HP_p,0,19,49,0,0,12,0,0,11,0
7,Circlet,HP_p,956,0,0,0,6,0,5,0,0,13,Circlet,DF_p,0,0,32,0,5,0,0,42,0,21
10,Circlet,HP_p,0,0,0,0,8,12,0,65,0,7,Circlet,AK_p,0,33,35,0,0,13,0,0,7,0
0,Circlet,CD_p,0,0,16,6,0,19,0,54,0,0,Circlet,AK_p,0,31,0,0,0,0,12,21,0,19
94,Circlet,DF_p,269,0,39,11,0,0,0,0,0,20,Circlet,DF_p,0,19,42,0,0,0,0,35,13,0
5,Circlet,HP_p,0,66,0,0,0,20,6,0,3,0,Circlet,HP_p,209,0,56,0,0,0,11,0,0,13
0,Circlet,AK_p,777,0,60,5,0,0,0,0,0,5,Circlet,CR_p,777,14,0,0,17,0,0,21,0,0
99,Circlet,HP_p,0,0,0,0,0,0,17,21,6,13,Circlet,AK_p,508,0,0,0,0,7,0,37,14,0
249,Circlet,EM_f,478,0,42,0,10,0,0,0,0,23,Circlet,DF_p,0,16,0,0,0,0,0,37,10,22
0,Circlet,CD_p,598,0,21,0,0,17,10,0,0,0,Circlet,HP_p,478,35,0,0,0,0,0,40,7,0
4,Circlet,HP_p,0,0,0,0,16,0,0,42,6,6,Circlet,CD_p,0,0,0,5,0,7,0,23,16,0
0,Circlet,HB_p,866,0,0,11,0,0,11,37,0,0,Circlet,AK_p,0,33,0,0,0,0,19,37,4,0
1,Circlet,HB_p,0,0,58,0,10,10,12,0,0,0,Circlet,HP_p,0,0,46,0,0,17,0,16,0,12
2,Circlet,DF_p,418,64,42,0,0,0,0,19,0,0,Circlet,HP_p,568,0,39,0,0,13,0,0,6,0
5,Circlet,AK_p,777,19,0,0,0,19,0,21,0,0,Circlet,EM_f,0,51,42,0,0,0,6,0,0,20
4,Circlet,HB_p,299,0,0,5,0,26,0,0,0,12,Circlet,DF_p,0,31,0,9,0,0,0,0,3,21
4,Circlet,EM_f,0,0,51,5,16,0,0,0,0,7,Circlet,HP_p,0,51,0,0,0,0,11,0,10,5
2,Circlet,HP_p,717,0,0,0,10,12,0,0,0,6,Circlet,AK_p,627,0,44,0,0,7,0,0,0,13
19,Circlet,HP_p,0,29,0,0,5,6,0,0,0,26,Circlet,AK_p,0,0,0,11,0,0,0,33,7,15
6,Circlet,CR_p,538,0,56,0,4,0,11,0,0,0,Circlet,CR_p,478,0,0,10,0,0,20,0,0,7
7,Circlet,HP_p,0,56,16,0,0,0,12,0,0,13,Circlet,HP_p,0,0,19,0,16,0,18,0,0,13
29,Circlet,EM_f,0,0,102,6,0,6,0,0,0,13,Circlet,HP_p,0,62,46,0,5,0,0,0,0,13
0,Circlet,HP_p,0,0,0,0,10,17,11,37,0,0,Circlet,HP_p,239,18,39,0,0,0,0,0,0,28
0,Circlet,CD_p,0,33,0,21,0,5,0,0,4,0,Circlet,CD_p,0,33,0,10,21,0,0,19,0,0
9,Circlet,CD_p,0,53,0,0,5,20,5,0,0,0,Circlet,CR_p,747,0,0,0,9,0,16,19,0,0
9,Circlet,HP_p,837,45,19,0,0,0,0,0,4,0,Circlet,AK_p,418,16,0,16,0,0,0,0,0,15
1,Circlet,DF_p,0,18,104,5,0,0,5,0,0,0,Circlet,AK_p,0,14,0,0,0,33,0,0,4,12
1,Circlet,AK_p,538,45,0,0,0,0,12,0,0,6,Circlet,AK_p,239,0,21,0,0,0,0,82,9,0
13,Circlet,HP_p,0,27,39,0,0,0,0,40,0,14,Circlet,HP_p,0,60,19,0,0,7,0,0,0,19
21,Circlet,AK_p,0,19,35,5,0,0,0,84,0,0,Circlet,DF_p,986,16,23,0,14,0,0,0,0,0
0,Circlet,CD_p,0,0,51,9,0,6,0,40,0,0,Circlet,CD_p,598,37,0,0,5,0,16,0,0,0
10,Circlet,HP_p,0,0,39,0,0,15,0,23,0,12,Circlet,DF_p,0,0,0,10,10,0,0,42,0,12
2,Circlet,CR_p,0,0,35,0,5,0,15,44,0,0,Circlet,HB_p,508,0,0,0,6,0,17,0,6,0
17,Circlet,HP_p,538,0,16,0,0,13,0,0,0,18,Circlet,HB_p,0,0,19,11,0,0,11,0,0,19
0,Circlet,DF_p,478,19,0,5,0,0,20,0,0,0,Circlet,HB_p,0,51,0,5,9,14,0,0,0,0
15,Circlet,HP_p,0,0,65,0,12,11,0,0,3,0,Circlet,DF_p,717,0,0,10,0,0,6,0,11,0
5,Circlet,DF_p,269,0,62,4,0,0,15,0,0,0,Circlet,CR_p,0,37,0,10,8,15,0,0,0,0
17,Circlet,DF_p,0,51,0,4,0,0,0,58,0,7,Circlet,CR_p,0,0,37,0,0,7,0,79,0,15
1,Circlet,CR_p,299,33,19,20,0,0,0,0,0,0,Circlet,HP_p,0,0,0,0,9,0,19,19,6,0
142,Circlet,CR_p,0,16,39,0,0,7,0,0,0,24,Circlet,HP_p,0,33,0,0,0,6,0,0,10,13
9,Circlet,HB_p,0,0,76,0,0,13,0,19,7,0,Circlet,DF_p,299,0,44,9,0,0,0,0,10,0
396,Circlet,AK_p,209,29,0,0,0,0,0,0,7,23,Circlet,AK_p,0,14,0,0,0,0,12,0,18,6
5,Circlet,EM_f,0,31,0,0,5,0,18,0,7,0,Circlet,HP_p,478,0,0,0,11,0,9,0,0,15
17,Circlet,HP_p,0,18,65,0,0,0,13,0,6,0,Circlet,AK_p,508,0,0,0,0,17,5,0,0,15
10,Circlet,AK_p,0,0,0,20,0,14,5,0,0,8,Circlet,AK_p,807,0,23,0,0,0,0,0,7,12
1,Circlet,DF_p,239,0,21,0,0,0,13,68,0,0,Circlet,DF_p,777,0,39,0,6,0,12,0,0,0
3,Circlet,CR_p,269,60,16,0,0,0,0,47,0,0,Circlet,DF_p,0,35,0,10,0,0,0,37,0,20
2,Circlet,AK_p,0,72,23,15,0,0,0,0,4,0,Circlet,AK_p,807,0,39,9,0,0,0,0,0,13
17,Circlet,CR_p,448,19,0,0,16,0,0,0,0,12,Circlet,DF_p,0,53,0,0,4,0,0,0,6,13
2,Circlet,HB_p,807,0,0,0,9,10,12,0,0,0,Circlet,CD_p,0,0,65,10,0,11,0,0,7,0
5,Circlet,CR_p,418,0,67,0,10,0,0,23,0,0,Circlet,DF_p,0,0,79,0,10,0,6,0,3,0
4,Circlet,DF_p,0,49,58,4,6,0,0,0,0,0,Circlet,HP_p,538,0,0,0,0,20,0,37,4,0
272,Circlet,HB_p,0,0,0,5,15,5,0,0,12,0,Circlet,HP_p,0,0,39,0,5,0,0,0,7,24
29,Circlet,AK_p,269,16,0,0,0,0,16,63,0,0,Circlet,DF_p,0,35,19,0,0,0,0,63,0,19
999,Circlet,EM_f,0,18,0,4,0,0,6,0,0,40,Circlet,AK_p,0,0,39,0,0,7,10,61,0,0
1,Circlet,CD_p,747,0,39,0,0,12,6,0,0,0,Circlet,HP_p,508,29,0,0,5,19,0,0,0,0
2,Circlet,EM_f,0,31,37,0,0,12,11,0,0,0,Circlet,DF_p,0,0,39,9,0,0,12,0,7,0
8,Circlet,AK_p,568,0,0,0,0,0,16,33,4,0,Circlet,DF_p,0,66,16,5,0,0,0,0,0,15
4,Circlet,AK_p,0,0,53,0,0,0,12,35,0,8,Circlet,AK_p,239,35,0,10,0,0,0,0,9,0
13,Circlet,EM_f,0,33,0,0,16,0,11,0,3,0,Circlet,DF_p,508,0,0,0,0,0,0,65,10,8
5,Circlet,CR_p,508,19,53,9,0,0,0,0,0,0,Circlet,HB_p,269,33,0,0,0,0,0,0,4,26
16,Circlet,DF_p,0,49,0,6,0,0,11,0,0,15,Circlet,EM_f,538,0,44,0,0,0,0,0,3,19
3,Circlet,DF_p,239,35,21,0,19,0,0,0,0,0,Circlet,HP_p,0,0,0,0,10,0,6,35,0,20
40,Circlet,HP_p,0,0,0,0,11,12,0,51,0,8,Circlet,AK_p,0,0,44,0,0,11,6,0,9,0
6,Circlet,EM_f,0,19,0,0,0,11,18,0,7,0,Circlet,AK_p,0,0,60,0,0,13,0,16,0,16
6,Circlet,AK_p,0,0,35,10,0,13,0,40,0,0,Circlet,DF_p,538,0,0,13,11,0,0,0,0,8
8,Circlet,HB_p,0,19,65,0,0,11,0,56,0,0,Circlet,AK_p,508,14,0,19,0,0,0,0,0,6
40,Circlet,DF_p,0,16,37,0,20,0,0,0,0,7,Circlet,HP_p,269,19,0,0,0,12,0,0,12,0
9,Circlet,AK_p,0,0,19,11,0,0,14,0,6,0,Circlet,AK_p,0,33,0,0,0,0,0,40,7,16
6,Circlet,DF_p,0,0,35,19,5,0,0,0,0,7,Circlet,AK_p,0,51,16,0,0,0,0,0,7,14
4,Circlet,CR_p,0,33,0,21,0,7,10,0,0,0,Circlet,HP_p,209,47,0,0,0,0,0,42,7,0
16,Circlet,HP_p,717,16,0,0,0,0,0,40,0,15,Circlet,EM_f,508,37,0,0,12,0,0,0,0,20
6,Circlet,CR_p,0,0,35,14,0,0,5,61,0,0,Circlet,HP_p,0,0,35,0,0,0,6,40,0,20
19,Circlet,HP_p,448,45,69,0,0,0,6,0,0,0,Circlet,HP_p,448,0,23,0,21,0,0,0,0,6
0,Circlet,CR_p,508,0,16,10,0,0,0,58,0,0,Circlet,HB_p,448,0,37,0,0,0,10,0,0,13
23,Circlet,HB_p,0,0,0,10,9,0,0,40,0,13,Circlet,HP_p,239,47,23,0,0,0,0,0,9,0
8,Circlet,CD_p,508,16,0,10,16,0,0,0,0,0,Circlet,EM_f,508,0,0,0,9,0,10,0,8,0
32,Circlet,DF_p,478,18,16,0,0,0,0,0,0,26,Circlet,DF_p,0,0,0,0,0,0,5,37,3,31
16,Circlet,DF_p,0,51,0,4,0,0,13,0,7,0,Circlet,AK_p,598,0,37,4,0,0,0,0,0,20
1,Circlet,CR_p,0,0,16,9,0,14,17,0,0,0,Circlet,DF_p,0,33,39,0,0,0,0,0,10,8
4,Circlet,HP_p,986,0,0,0,0,0,0,35,4,8,Circlet,DF_p,0,0,23,14,0,0,12,0,0,19
1,Circlet,CR_p,478,0,19,0,12,0,19,0,0,0,Circlet,DF_p,448,0,0,10,0,0,17,0,0,12
18,Circlet,CD_p,0,0,88,0,0,12,6,35,0,0,Circlet,DF_p,866,0,0,0,0,0,21,0,4,5
3,Circlet,CD_p,239,14,0,0,20,0,0,61,0,0,Circlet,AK_p,0,37,0,0,0,13,0,0,3,20
9,Circlet,HP_p,0,0,0,0,6,17,0,33,0,15,Circlet,DF_p,299,68,0,0,0,0,0,0,4,13
20,Circlet,AK_p,687,0,0,0,0,7,17,0,0,6,Circlet,AK_p,0,0,0,4,0,12,16,0,0,12
14,Circlet,HP_p,0,0,62,0,9,6,10,0,0,0,Circlet,HB_p,0,0,21,0,23,0,10,0,0,6
4,Circlet,DF_p,747,0,16,0,10,0,0,40,0,0,Circlet,HP_p,0,0,60,0,0,0,0,42,7,7
38,Circlet,DF_p,239,0,44,10,0,0,0,0,12,0,Circlet,AK_p,0,0,23,0,0,0,11,0,4,23
0,Circlet,CR_p,0,37,0,0,0,17,6,33,0,0,Circlet,DF_p,0,0,44,10,10,0,0,0,0,13
3,Circlet,DF_p,0,51,42,9,0,0,6,0,0,0,Circlet,DF_p,598,18,0,13,0,0,0,0,5,0
2,Circlet,EM_f,269,51,62,0,8,0,0,0,0,0,Circlet,CD_p,0,33,19,0,0,10,0,0,14,0
7,Circlet,CR_p,568,31,32,0,0,12,0,0,0,0,Circlet,HP_p,0,0,32,0,0,26,0,19,4,0
1,Circlet,HB_p,568,49,44,0,0,5,0,0,0,0,Circlet,AK_p,538,0,0,9,0,0,10,0,0,15
2,Circlet,EM_f,0,33,0,0,5,27,10,0,0,0,Circlet,HP_p,299,18,0,0,10,0,0,0,0,23
3,Circlet,HP_p,508,64,0,0,0,7,0,40,0,0,Circlet,DF_p,0,14,42,11,14,0,0,0,0,0
91,Circlet,CR_p,0,14,0,0,0,0,5,58,0,23,Circlet,HB_p,508,0,0,0,10,0,6,0,13,0
11,Circlet,HP_p,807,16,0,0,10,0,0,0,0,14,Circlet,AK_p,717,0,0,5,0,0,11,0,0,20
0,Circlet,HP_p,299,0,65,0,0,19,0,35,0,0,Circlet,CD_p,0,0,0,15,10,16,0,21,0,0
18,Circlet,AK_p,299,33,0,0,0,0,10,0,11,0,Circlet,DF_p,0,0,39,0,17,0,0,0,3,14
7,Circlet,HB_p,448,56,0,0,0,0,0,35,7,0,Circlet,DF_p,0,16,0,0,0,0,6,63,0,20
19,Circlet,HP_p,0,66,16,0,6,0,0,0,0,12,Circlet,DF_p,239,0,37,4,0,0,0,0,17,0
35,Circlet,HB_p,538,53,39,0,0,0,0,21,0,0,Circlet,DF_p,0,35,58,0,11,0,0,16,0,0
1,Circlet,DF_p,269,0,0,10,22,0,5,0,0,0,Circlet,DF_p,568,49,0,0,0,0,0,0,3,13
5,Circlet,CR_p,986,0,60,0,0,7,5,0,0,0,Circlet,HP_p,269,16,58,0,0,0,0,0,0,21
13,Circlet,DF_p,0,0,58,0,8,0,0,35,4,0,Circlet,HB_p,0,51,0,5,15,0,0,0,0,5
3,Circlet,AK_p,448,0,19,10,0,20,0,0,0,0,Circlet,HP_p,299,27,0,0,11,18,0,0,0,0
16,Circlet,DF_p,0,66,37,0,10,0,6,0,0,0,Circlet,AK_p,0,0,0,9,0,0,0,21,3,27
5,Circlet,HP_p,299,0,0,0,0,6,21,0,0,13,Circlet,HP_p,418,0,37,0,0,0,10,0,0,16
14,Circlet,CD_p,0,29,23,14,0,0,11,0,0,0,Circlet,DF_p,478,0,39,0,0,0,0,42,0,12
1,Circlet,AK_p,478,19,0,16,0,0,0,40,0,0,Circlet,HB_p,0,0,16,0,10,0,23,19,0,0
18,Circlet,HP_p,269,0,35,0,0,0,0,58,0,12,Circlet,HP_p,0,0,0,0,5,7,0,0,10,21
12,Circlet,HP_p,0,0,16,0,6,23,0,0,0,12,Circlet,CR_p,269,39,0,0,0,20,0,0,0,21
5,Circlet,CR_p,478,0,0,0,6,13,14,0,0,0,Circlet,HB_p,299,37,0,0,15,0,10,0,0,0
10,Circlet,HB_p,0,18,56,0,0,18,0,0,3,0,Circlet,DF_p,0,39,0,5,0,0,0,42,0,17
7,Circlet,HP_p,269,0,56,0,10,0,0,33,0,0,Circlet,CD_p,0,45,0,0,5,0,12,0,7,0
940,Circlet,HP_p,0,0,39,0,0,7,0,0,12,14,Circlet,HP_p,0,0,0,0,5,0,6,0,6,26
10,Circlet,AK_p,0,33,39,0,0,0,5,58,0,0,Circlet,CD_p,0,56,16,0,0,0,11,0,7,0
2,Circlet,HP_p,837,39,39,0,5,0,0,0,0,0,Circlet,DF_p,0,47,16,0,0,0,0,63,0,7
3,Circlet,HP_p,209,0,79,0,0,13,0,21,0,0,Circlet,HB_p,0,66,0,0,0,0,5,42,3,0
20,Circlet,DF_p,0,0,23,0,9,0,20,0,4,0,Circlet,HP_p,777,33,0,0,0,0,0,19,7,0
3,Circlet,DF_p,269,0,23,13,0,0,0,58,0,0,Circlet,DF_p,956,0,0,0,0,0,6,0,7,13
3,Circlet,HP_p,807,37,0,0,4,0,0,0,11,0,Circlet,HB_p,0,29,0,0,12,0,6,0,0,19
7,Circlet,HP_p,0,0,62,0,0,0,9,19,0,13,Circlet,HP_p,538,0,19,0,0,0,0,0,14,13
45,Circlet,AK_p,538,0,0,0,0,0,0,23,7,18,Circlet,HB_p,0,49,19,0,0,0,0,0,7,23
15,Circlet,HP_p,538,49,19,0,0,0,0,0,0,13,Circlet,EM_f,0,0,21,0,0,0,10,0,13,5
2,Circlet,CR_p,657,16,0,19,6,0,0,0,0,0,Circlet,HP_p,598,0,39,0,8,0,11,0,0,0
46,Circlet,HP_p,0,18,0,0,14,12,0,0,0,13,Circlet,AK_p,0,27,0,6,0,0,0,0,9,13
7,Circlet,CD_p,1105,29,23,0,0,0,5,0,0,0,Circlet,AK_p,0,0,62,0,0,11,0,0,8,5
3,Circlet,DF_p,0,53,37,0,0,0,0,35,3,0,Circlet,DF_p,0,35,0,4,0,0,23,0,0,8
6,Circlet,AK_p,239,29,0,6,0,26,0,0,0,0,Circlet,HP_p,209,0,0,0,0,24,0,42,0,6
27,Circlet,DF_p,0,14,42,16,0,0,0,0,0,12,Circlet,CR_p,478,0,0,10,0,0,0,23,0,18
9,Circlet,AK_p,0,0,44,10,0,0,10,44,0,0,Circlet,HP_p,0,0,19,0,0,12,0,44,9,0
1,Circlet,AK_p,0,0,23,19,0,7,10,0,0,0,Circlet,HB_p,0,51,0,4,0,0,17,0,4,0
1,Circlet,CR_p,598,0,39,0,0,11,0,63,0,0,Circlet,CD_p,0,14,44,0,12,0,17,0,0,0
0,Circlet,DF_p,0,0,21,5,0,0,13,72,0,0,Circlet,HP_p,836,37,32,0,0,0,0,0,4,0
8,Circlet,AK_p,538,54,0,0,0,0,6,0,0,19,Circlet,EM_f,0,0,19,0,0,0,17,0,7,12
11,Circlet,CD_p,0,54,37,5,0,0,0,0,6,0,Circlet,AK_p,209,31,23,0,0,0,0,0,0,28
9,Circlet,AK_p,508,54,42,0,0,0,0,0,0,6,Circlet,HB_p,866,0,42,5,0,0,0,0,0,11
12,Circlet,CR_p,448,0,0,16,6,0,12,0,0,0,Circlet,HP_p,209,49,0,0,10,0,0,0,0,12
1,Circlet,HP_p,0,0,67,0,0,11,11,21,0,0,Circlet,HP_p,0,37,0,0,12,6,0,0,7,0
9,Circlet,HP_p,538,33,58,0,0,0,5,0,0,0,Circlet,CD_p,1076,0,46,0,4,11,0,0,0,0
86,Circlet,HP_p,269,0,58,0,10,0,0,0,0,20,Circlet,HP_p,0,18,0,0,0,5,0,35,18,0
7,Circlet,DF_p,209,0,39,15,0,0,0,40,0,0,Circlet,CR_p,0,37,76,0,10,0,0,0,0,5
14,Circlet,HP_p,0,0,44,0,0,11,0,40,7,0,Circlet,HB_p,0,33,0,0,10,0,10,0,0,23
35,Circlet,DF_p,239,47,39,0,0,0,0,0,8,0,Circlet,HB_p,0,33,0,0,0,5,0,40,0,20
16,Circlet,DF_p,299,0,0,9,20,0,0,19,0,0,Circlet,AK_p,269,49,0,0,0,0,0,33,0,14
13,Circlet,AK_p,299,33,0,0,0,0,0,82,6,0,Circlet,AK_p,448,14,0,10,0,0,0,0,10,0
5,Circlet,DF_p,269,0,0,0,0,0,10,56,7,0,Circlet,DF_p,0,29,0,0,0,0,5,0,7,22
0,Circlet,HP_p,0,72,0,0,0,7,10,16,0,0,Circlet,HP_p,807,14,0,0,0,0,12,0,0,23
0,Circlet,DF_p,269,39,53,0,0,0,10,0,0,0,Circlet,AK_p,0,49,23,0,0,0,0,0,8,6
7,Circlet,HP_p,0,66,0,0,6,12,5,0,0,0,Circlet,DF_p,0,0,42,0,0,0,12,63,0,12
16,Circlet,CD_p,0,0,60,0,5,0,5,61,0,0,Circlet,CD_p,0,0,0,5,19,6,0,47,0,0
8,Circlet,DF_p,0,41,23,0,15,0,12,0,0,0,Circlet,AK_p,0,35,0,5,0,0,15,0,0,13
5,Circlet,HP_p,717,16,44,0,0,0,0,0,9,0,Circlet,HB_p,0,0,42,5,16,0,0,0,6,0
50,Circlet,CD_p,598,49,0,0,10,0,0,0,7,0,Circlet,EM_f,0,0,0,6,16,0,0,0,10,6
2,Circlet,HP_p,0,0,0,0,9,0,6,58,0,13,Circlet,EM_f,0,0,44,0,0,0,5,0,10,11
3,Circlet,CD_p,777,37,0,4,0,0,10,0,0,0,Circlet,HP_p,269,0,35,0,0,0,24,0,0,13
165,Circlet,HP_p,0,0,39,0,10,0,0,0,7,12,Circlet,DF_p,0,0,23,0,0,0,0,16,7,26
134,Circlet,CR_p,0,16,0,0,11,0,16,0,0,21,Circlet,HP_p,0,0,51,0,15,0,0,0,6,8
4,Circlet,CR_p,209,31,62,0,13,0,0,0,0,0,Circlet,DF_p,0,16,0,16,0,0,0,40,7,0
1,Circlet,CD_p,0,31,32,0,0,7,16,0,0,0,Circlet,CR_p,807,0,39,0,4,0,16,0,0,0
10,Circlet,HB_p,0,0,0,0,0,19,11,35,0,7,Circlet,HP_p,1046,0,23,0,10,0,0,0,0,5
15,Circlet,HP_p,478,0,0,0,11,0,11,0,7,0,Circlet,HB_p,0,18,0,0,8,17,0,0,0,16
16,Circlet,DF_p,0,54,0,4,0,0,10,0,7,0,Circlet,AK_p,0,18,23,9,0,0,0,0,13,0
5,Circlet,AK_p,209,0,0,10,0,0,25,0,0,6,Circlet,AK_p,0,0,46,5,0,17,0,0,9,0
15,Circlet,AK_p,807,0,19,10,0,0,0,0,7,0,Circlet,HP_p,0,0,19,0,13,0,0,21,10,0
5,Circlet,HB_p,956,0,23,0,0,0,0,21,0,12,Circlet,HP_p,478,0,0,0,5,0,5,0,12,0
